SMILES,LogKOC
C=Cc1cc[n]cc1,1.18
OCc1ccccc1,1.1
CNc1ccccc1,2.28
COc1ccccc1,1.54
Clc1ccccc1Nc1[n]c(Cl)[n]c(Cl)[n]1,3.0
O=C(Nc1cc(Cl)ccc1)OCC#CCCl,3.06
CN(C)C(=O)Nc1ccccc1,1.4
Brc1ccc(cc1)Oc1ccccc1,4.23
Nc1ccc(Cc2ccc(N)cc2)cc1,1.99
c1ccccc1Oc1ccccc1,3.29
CCOC(=O)Cc1ccccc1,1.89
O=C(OCC(CCCC)CC)CCCCC(=O)OCC(CCCC)CC,4.19
c1ccccc1N=Nc1ccccc1,3.3
CC(=O)OCCc1ccccc1,1.89
OCCc1cccc[n]1,1.45
OC(=O)Cc1ccccc1,1.45
CC(=O)Nc1ccccc1,1.43
CCCCCCCCCc1ccc(O)cc1,3.84
CCCCc1ccccc1,3.39
COc1ccc(N)cc1,1.93
CCCCCCCC(=O)OCC,3.02
Nc1ccc(Br)cc1,1.96
Oc1ccc(Br)cc1,2.41
Cc1ccc(O)cc1,2.7
Clc1ccc(Cl)cc1,2.65
Nc1ccc(Cl)cc1,1.96
ClCC1CO1,1.0
BrCCBr,1.71
ClCCCl,1.52
Oc1cc(Cl)ccc1,2.54
Cc1cc(N)ccc1,1.53
Oc1cc(O)ccc1,0.98
CC1OC(C)OC(C)OC(C)O1,2.38
COCC(OC(=O)C)C,0.36
Cc1cc(C)cc(C)c1,2.82
Clc1cc(Cl)cc(Cl)c1,2.85
Brc1ccccc1,2.49
Cc1ccccc1,2.07
Oc1ccccc1,1.43
CCCCN,1.88
c1cccc[n]1,1.6
OCCNCCO,0.6
ClCCOCCCl,1.88
SC(=S)NCCNC(S)=S,2.74
CCCCOCCO,1.83
CCCCCCCCO,1.56
ClCCOCOCCCl,1.79
CCCCCCCCCCCCO,3.52
CNC(=O)Oc1ccccc1OC(C)C,1.67
NC(=O)Nc1ccccc1Cl,1.61
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.11
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.7
CS(=O)c1ccc(cc1)OP(=S)(OCC)OCC,2.52
[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,4.05
O=C1c2ccccc2C(=O)C(Cl)=C1Cl,3.98
O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,4.94
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.74
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,2.32
O=C(c1ccccc1)c1ccccc1,2.63
c1c2ccccc2cc2ccccc21,4.31
CC(Oc1ccc(Cl)cc1Cl)C(O)=O,2.23
O=C(OCC)c(ccc(O)c1)c1,2.21
Oc1ccc(Cl)cc1Cl,2.81
CN(C)c1ccccc1,2.26
CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,2.36
Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,2.63
CC(=O)Nc1cc(ccc1)[N+]([O-])=O,1.94
CCNc1[n]c(Cl)[n]c(NCC)[n]1,2.1
O=C(OC(C)C)Nc(cccc1)c1,1.83
c1ccccc1NNc1ccccc1,2.98
C1=CC(=O)NNC1(=O),0.45
C1COCCO1,1.23
ClC(Br)Br,1.92
CCSCCSP(=O)(OCC)OCC,1.85
CC(Cl)(Cl)C(O[Na])=O,0.0
O=C1c2ccccc2-c2ccc3c4c2c1ccc4-c1ccccc1C3=O,4.28
c1cc2cccc3ccc4cccc1c4c32,4.9
COC(=O)c1ccccc1C(=O)OC,1.6
c1cccc2[s]c3ccccc3c21,4.05
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,2.3
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,3.27
Nc1cccc2ccccc21,3.51
CCCCOC(=O)c1ccccc1,2.1
CN(C)C(=S)SSC(=S)N(C)C,2.83
Nc1ccc(cc1)Sc1ccc(N)cc1,2.04
[Na+].CN(C)c1ccc(cc1)N=NS([O-])(=O)=O,1.18
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,1.66
CCCCCC(O)=O,1.46
O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl,4.2
C[As](O[Na])(O[Na])=O,2.78
OC(=O)C1C(C2CCC1O2)C(O)=O,2.09
c1[n]c(c[s]1)-c1[nH]c2ccccc2[n]1,3.24
Nc1ccc(cc1)C(O)=O,2.5
COc1cccc(O)c1,1.5
CN(C)C(=O)Nc1ccc(Cl)cc1,1.95
O[C@H]1Cc2c(cc(O)cc2O)O[C@@H]1c1cc(O)c(O)cc1,2.03
c1c2ccccc2c2ccc3c4c2c1ccc4cc1ccccc13,5.71
c1cc2ccc3cccc4c3c2c2c3c4cccc3ccc21,4.61
c1cc2[nH]c3ccc4ccccc4c3c2c2ccccc21,6.03
c1ccc2c3c(cccc31)-c1ccccc1-2,4.8
c1c2-c3cccc4cccc(c43)-c2cc2ccccc21,4.34
c4ccc3nc2ccc1ccccc1c2cc3c4,4.39
c1ccc4c(c1)ccc5c3ccc2ccccc2c3nc45,6.02
c1c2ccccc2[n]c2ccccc21,4.18
CCSCSP(=S)(OCC)OCC,2.7
CCSCCOP(=S)(OCC)OCC,2.59
CCSCCSP(=S)(OCC)OCC,3.22
CCS(=O)CCSP(=O)(OC)OC,1.0
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|",4.69
CC1NC(=O)N(C(C)CC)C(=O)C=1Br,1.6
CN(C)c1c(C)cc(cc1C)OC(=O)NC,2.48
CCP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OCC,2.6
CN(C)C(=O)Nc1cccc(F)c1,1.73
CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,2.7
CN(C)C(=O)Nc1ccc(F)cc1,1.43
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,2.75
CC(=O)Nc1cccc(c1)C(F)(F)F,1.75
CC(=O)Nc1ccc(F)cc1,1.48
c1ccc[n]c1-c1cccc[n]1,1.6
CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C,3.31
[O-][N+](=Nc1ccccc1)c1ccccc1,3.5
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.3
Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.62
[O-][N+](=O)c1ccc(cc1[N+]([O-])=O)C(O)=O,1.53
O=C(Nc(c(ccc1)Cl)c1)C,1.58
Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2.41
Cc1cccc(c1)NC(C)=O,1.45
CCCCC(=O)OCC,1.97
c(cccc1Cl)(c1)Cl,2.58
C(=CCl)CCl,1.665
Nc1ccc(Cl)cc1Cl,2.72
CN=C=S,0.97
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,4.06
Oc1cccc(Cl)c1Cl,2.66
CN(C)C(=O)Nc1cccc(Cl)c1,1.79
CC(=O)Nc1cccc(Cl)c1,1.86
Oc1cc(Cl)cc(Cl)c1,2.83
NC(=O)C(Cl)(Cl)Cl,0.99
c1ccccc1N(c1ccccc1)c1ccccc1,2.26
Nc1c(Cl)cccc1Cl,3.25
Oc1cc(Cl)c(Cl)c(Cl)c1,3.56
NC(=O)c1ccccc1Cl,1.51
NC(=O)c1ccccc1[N+]([O-])=O,1.45
CN(C)C(=O)c1ccccc1,1.6
Nc1cc2cc3ccccc3cc2cc1,4.45
CNC(=O)c1ccccc1,1.68
Nc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,2.55
Cc1ccc(cc1)C(N)=O,1.78
NC(=O)c1ccc(cc1)[N+]([O-])=O,1.93
Nc1cc(Cl)cc(Cl)c1,2.49
OC(=O)c1c(c(Cl)c(Cl)c(Cl)c1Cl)C(O)=O,3.3
Clc1ccc(Cl)c(Cl)c1Cl,3.84
Nc1cc(Cl)c(Cl)c(Cl)c1Cl,3.03
Clc1cc(Cl)c(Cl)c(Cl)c1,3.2
NC(=O)c1cc(ccc1)[N+]([O-])=O,1.95
NC(=O)Nc1ccccc1F,1.32
NC(=O)Nc1ccc(F)cc1,1.52
COc1[n]c(NCC)[n]c(NCC)[n]1,2.34
Cc1cc(O)c(C)c(C)c1,3.61
CCC(=O)Nc1cc(Cl)c(Cl)cc1,2.17
OC(=O)c1c2ccccc2cc2ccccc21,2.74
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,3.0
O=C(N(CCC)CCC)SCC,2.38
NC(=O)Nc1cccc(F)c1,1.77
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4.66
CCNc1[n]c(NC(C)C)[n]c([n]1)SC,2.59
Oc1ccc2ccccc2c1/N=N/c1ccccc1,3.58
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)SC,2.85
O=C(NC1CCCCC1)Nc2ccccc2,2.07
CCSCCSP(=O)(OC)OC,1.49
CCc1cc2ccccc2cc1,3.76
CCP(=S)(OCC)Sc1ccccc1,2.94
COC1=NN(CSP(=S)(OC)OC)C(=O)S1,1.53
CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.32
COP(=O)(OC(=CCl)c1cc(Cl)c(Cl)cc1Cl)OC,3.01
CNC(=O)Nc1ccccc1,1.29
ClC1(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C(Cl)=C2Cl,4.02
OC(=O)CNCP(O)(O)=O,3.32
CCN(CCCC)C(=O)SCCC,2.8
CCCC(=O)Nc1ccccc1,1.71
CCN(C1CCCCC1)C(=O)SCC,2.54
N#Cc1c(Cl)cccc1Cl,2.5
OCc1c2ccccc2cc2ccccc21,3.61
Oc1cc2CCCc2cc1,3.4
CCCCOC(=O)Nc1ccccc1,2.26
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,4.2
CN(C)NC(=O)CCC(O)=O,0.95
CCNc1[n]c(NC(C)C)[n]c([n]1)OC,2.64
CCNNCC,1.18
CNC(=O)O/N=C/C(C)(C)S(C)=O,0.56
CNC(=O)O/N=C/C(C)(C)S(C)(=O)=O,0.42
NC1C=NN(C(=O)C=1Cl)c1ccccc1,2.08
OC(=O)c1[n]c(Cl)ccc1Cl,1.56
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,6.5
O=P(NC)(NC)Oc1ccccc1,1.51
[O-][N+](=O)c1ccc(cc1)Oc1ccc(Cl)cc1Cl,4.0
[O-][N+](=O)c1ccc(cc1)Oc1c(Cl)cc(Cl)cc1Cl,3.9
CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,4.03
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,3.26
CCNc1[n]c(Cl)[n]c(NC(C)C)[n]1,2.24
CCNc1[n]c([n]c(Cl)[n]1)N(CC)CC,2.76
COc1c(C(O)=O)c(Cl)ccc1Cl,1.5
Nc1c(Cl)c([n]c(Cl)c1Cl)C(O)=O,1.3
CC(C)N(C(=O)CCl)c1ccccc1,2.42
COC(=O)Nc1cc(Cl)c(Cl)cc1,2.74
CCCSC(=O)N(CCC)CCC,2.33
CC(C#C)OC(=O)Nc1cccc(Cl)c1,2.21
NC(=O)Nc1ccc(Br)cc1,2.06
NC(=O)Nc1cccc(Cl)c1,2.01
CC1CCCCC1NC(=O)Nc1ccccc1,2.31
CCSC(=O)N(CC(C)C)CC(C)C,2.11
NC(=O)c1c(Cl)cccc1Cl,0.53
CNC(=O)Oc1cc(C)c(SC)c(C)c1,2.32
Clc1ccccc1-c1ccccc1,3.47
CCCNc1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,3.61
CCOC(=O)Cc1cccc2ccccc21,2.48
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,6.36
COC(=O)Nc1cccc(Cl)c1,2.15
[Na+].C[As]([O-])(O)=O,3.85
